GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.message,RestaurantApprovalResponse,49,0,0,0,9,0,9,0,9,0
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.message,PaymentResponse.PaymentResponseBuilder,90,0,0,0,1,0,12,0,12,0
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.message,RestaurantApprovalResponse.RestaurantApprovalResponseBuilder,72,0,0,0,1,0,10,0,10,0
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.message,PaymentResponse,61,0,0,0,11,0,11,0,11,0
order-domain-service,com.h.udemy.java.uservices.order.service.domain.saga.helper,OrderSagaHelper,38,10,2,0,7,4,3,2,2,2
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.track,TrackOrderQuery.TrackOrderQueryBuilder,18,0,0,0,1,0,4,0,4,0
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.track,TrackOrderQuery,13,0,0,0,3,0,3,0,3,0
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.track,TrackOrderResponse.TrackOrderResponseBuilder,36,0,0,0,1,0,6,0,6,0
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.track,TrackOrderResponse,25,0,0,0,5,0,5,0,5,0
order-domain-service,com.h.udemy.java.uservices.order.service.domain,OrderApplicationService,9,18,0,0,2,6,2,3,2,3
order-domain-service,com.h.udemy.java.uservices.order.service.domain,RestaurantApprovalResponseMessageListener,43,10,0,0,8,4,2,2,2,2
order-domain-service,com.h.udemy.java.uservices.order.service.domain,OrderCreateCommandHandler,0,33,0,0,0,11,0,3,0,3
order-domain-service,com.h.udemy.java.uservices.order.service.domain,OrderTrackCommandHandler,43,13,2,0,9,5,3,2,2,2
order-domain-service,com.h.udemy.java.uservices.order.service.domain,OrderCreateHelper,48,99,3,3,11,31,3,6,0,6
order-domain-service,com.h.udemy.java.uservices.order.service.domain,PaymentResponseMessageListener,44,10,0,0,9,4,2,2,2,2
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.create,CreateOrderCommand.CreateOrderCommandBuilder,12,42,0,0,0,1,1,7,1,7
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.create,OrderAddress,25,0,0,0,5,0,5,0,5,0
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.create,OrderItemDTO,10,25,0,0,1,2,1,5,1,5
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.create,CreateOrderResponse.CreateOrderResponseBuilder,8,28,0,0,0,1,1,5,1,5
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.create,CreateOrderResponse,0,25,0,0,0,5,0,5,0,5
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.create,OrderAddressDTO.OrderAddressDTOBuilder,8,28,0,0,0,1,1,5,1,5
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.create,OrderItemDTO.OrderItemDTOBuilder,8,28,0,0,0,1,1,5,1,5
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.create,OrderItem.OrderItemBuilder,36,0,0,0,1,0,6,0,6,0
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.create,OrderAddressDTO,0,25,0,0,0,5,0,5,0,5
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.create,OrderItem,35,0,0,0,6,0,6,0,6,0
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.create,OrderAddress.OrderAddressBuilder,36,0,0,0,1,0,6,0,6,0
order-domain-service,com.h.udemy.java.uservices.order.service.domain.dto.create,CreateOrderCommand,0,37,0,0,0,2,0,7,0,7
order-domain-service,com.h.udemy.java.uservices.order.service.domain.config,OrderServiceConfigData,192,3,38,0,4,1,31,1,12,1
order-domain-service,com.h.udemy.java.uservices.order.service.domain.saga,OrderPaymentSaga,84,16,0,0,14,6,2,2,2,2
order-domain-service,com.h.udemy.java.uservices.order.service.domain.saga,OrderApprovalSaga,83,16,0,0,13,6,2,2,2,2
order-domain-service,com.h.udemy.java.uservices.order.service.domain.mapper,OrderDataMapper,36,94,0,0,12,31,3,8,3,8
